County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
LEHIGH COUNTY,PA,17.1,29.9,89.0,26.2,82.4,62.5,138714,2.56,63897,33566,11.8,345.17,24.6,86.5,51.0,374557,349497,1012.5,26456,8240,15555,5698,19714,2144,22868,Lehigh County,42077.0,184713,160993,147002,152464,145091,116280,0.0759502579677662,0.047418210729659,0.0776111889634155,0.1554924441179557,0.0260526152552536,0.0101049191606467,Democrat
LEMHI COUNTY,ID,30.6,22.9,92.1,3.5,95.7,93.1,3582,2.13,39324,25075,2.2,4563.39,2.0,81.9,49.5,7974,7936,1.7,797,325,369,0,734,41,721,Lemhi County,16059.0,4738,4096,4110,4105,4053,3641,-0.5403123680878008,-0.55615234375,-0.5034063260340633,-0.4572472594397076,-0.533925487293363,-0.6039549574292777,Republican
LENAWEE COUNTY,MI,19.4,21.0,90.9,8.2,93.7,86.5,38345,2.43,55450,27850,2.3,749.56,5.0,87.1,49.5,99423,99892,133.3,6935,2347,3589,281,6448,353,6169,Lenawee County,26091.0,53375,45939,44724,47734,47012,40093,-0.1990257611241217,-0.2107142079714404,-0.0128566317860656,0.0505928688146813,-0.1039734535863184,-0.0577656947596837,Republican
LENOIR COUNTY,NC,20.2,14.9,79.7,7.9,55.4,48.9,23148,2.39,39402,23865,4.4,400.59,7.9,84.6,52.2,55122,59495,148.5,4470,1449,2601,1146,3141,881,3289,Lenoir County,37107.0,28409,26807,28086,26897,23179,21163,-0.034672110950755,-0.0365203118588428,-0.0011393576871038,-0.0008551139532289587,-0.1178653091160102,-0.0937957756461749,Republican
LEON COUNTY,FL,13.9,46.2,93.5,6.7,61.5,55.9,113658,2.42,53106,30586,6.8,666.85,10.0,75.5,52.7,292198,275487,413.1,22603,8464,11830,6295,15236,2663,18522,Leon County,12073.0,162929,152132,148353,148608,136379,103124,0.282724376875817,0.2514066731522625,0.2364360680269358,0.242530684754522,0.236532017392707,0.2168748303013847,Democrat
LEON COUNTY,TX,24.9,14.0,81.8,15.0,89.7,75.8,6443,2.66,43045,30129,5.2,1073.15,11.5,88.8,50.3,15719,16801,15.7,1452,392,699,168,1220,131,1161,Leon County,48289.0,8674,7439,6945,7041,6799,6326,-0.7437168549688724,-0.7369270063180535,-0.6842332613390929,-0.5891208635137054,-0.4808060008824827,-0.3902940246601328,Republican
LESLIE COUNTY,KY,18.7,8.7,71.3,0.8,98.0,97.3,4076,2.45,31627,15838,0.3,400.84,0.9,90.3,50.0,10513,11310,28.2,417,170,176,0,394,0,380,Leslie County,21131.0,4811,4492,4950,4397,4964,4434,-0.805445853252962,-0.8047640249332145,-0.8092929292929293,-0.638617239026609,-0.4824738114423851,-0.4395579612088408,Republican
LETCHER COUNTY,KY,19.9,12.1,75.7,0.8,98.2,97.4,9721,2.27,29886,20641,0.4,337.91,1.1,92.4,51.1,21548,24519,72.6,1493,496,854,0,1441,116,1332,Letcher County,21133.0,9135,9134,8758,8235,9065,8985,-0.594088669950739,-0.6296255747755639,-0.5833523635533228,-0.3332119004250151,-0.0671814671814671,0.0674457429048414,Republican
LEVY COUNTY,FL,25.1,12.2,84.9,8.8,87.0,79.2,16374,2.44,37326,21579,4.3,1118.21,7.2,87.2,51.1,42915,40801,36.5,2883,1092,1425,496,2291,320,2401,Levy County,12075.0,23145,19395,18399,18725,16652,12724,-0.4555627565348887,-0.4472286671822635,-0.3225718789064623,-0.2693190921228304,-0.2603891424453519,-0.1147437912606099,Republican
LEWIS AND CLARK COUNTY,MT,19.4,40.1,95.6,3.4,93.8,91.0,27893,2.37,65791,34504,1.2,3458.83,2.7,82.5,50.5,70973,63395,18.3,6954,2349,3321,351,6261,754,5597,Lewis and Clark County,30049.0,42265,34478,33318,33433,29842,27269,-0.0394179581213769,-0.0701026741690353,-0.03550633291314,0.0642478987826399,-0.1265665840091147,-0.187355605266053,Republican
LEWIS COUNTY,ID,26.9,17.9,88.5,4.7,87.5,83.7,1646,2.31,41198,24094,2.2,478.8,3.8,88.4,49.1,3533,3821,8.0,462,171,220,0,428,63,380,Lewis County,16061.0,1870,1590,1614,1804,1820,1688,-0.6096256684491979,-0.5861635220125787,-0.4814126394052044,-0.4412416851441242,-0.5049450549450549,-0.5687203791469194,Republican
LEWIS COUNTY,KY,18.5,9.1,75.8,0.8,98.4,97.7,5268,2.52,31147,19860,0.2,482.84,1.6,90.8,50.1,13080,13870,28.7,1043,246,679,0,1011,182,830,Lewis County,21135.0,5883,5298,4769,4791,5484,4568,-0.7076321604623492,-0.675349188372971,-0.4160201300062906,-0.3554581506992277,-0.3849380014587892,-0.4211908931698774,Republican
LEWIS COUNTY,MO,18.8,13.6,88.5,1.9,94.1,92.5,3752,2.43,45988,22739,0.8,505.04,2.3,87.6,49.8,10032,10211,20.2,672,173,364,0,577,0,558,Lewis County,29111.0,4609,4456,4279,4502,4644,4484,-0.5573877196788891,-0.5408438061041293,-0.2731946716522552,-0.1681474900044424,-0.2385874246339362,-0.0814005352363961,Republican
LEWIS COUNTY,NY,19.0,18.4,90.1,1.8,97.3,95.9,10247,2.56,54524,26708,1.6,1274.68,2.9,92.6,49.3,26582,27087,21.3,1843,454,1005,32,1725,90,1657,Lewis County,36049.0,13036,11325,10522,11129,11397,10923,-0.3889229825099724,-0.3756291390728477,-0.056928340619654,-0.0883277922544703,-0.1694305518996227,-0.1620433946717934,Republican
LEWIS COUNTY,TN,21.3,10.4,84.3,2.5,95.0,92.9,4715,2.5,37277,21516,1.7,282.09,3.7,93.4,51.1,12582,12161,43.1,1024,291,594,35,954,142,843,Lewis County,47101.0,5609,4622,4694,4834,5053,4420,-0.6065252273132465,-0.5830809173517957,-0.3557733276523221,-0.2372776168804303,-0.1242826043934295,0.0552036199095023,Republican
LEWIS COUNTY,WA,21.3,17.7,87.5,10.5,92.0,82.9,30618,2.52,53484,27127,5.2,2402.8,9.0,83.7,49.9,82149,75455,31.4,5007,1494,2349,421,4314,733,3876,Lewis County,53041.0,45309,34149,34044,34705,32428,29983,-0.3282129378269218,-0.361299013148262,-0.2287627775819527,-0.1917302982279211,-0.3181201430862217,-0.2892972684521229,Republican
LEWIS COUNTY,WV,21.1,14.5,88.4,1.2,97.1,96.1,6574,2.42,39908,23820,1.0,384.9,1.6,87.9,50.2,17033,16372,42.5,1206,384,730,25,1109,94,993,Lewis County,54041.0,7457,6928,6287,6606,6999,6134,-0.569129676813732,-0.5668302540415704,-0.4197550501033879,-0.3369663941871026,-0.2814687812544649,-0.2039452233452885,Republican
LEXINGTON CITY,VA,15.6,46.7,91.4,6.1,83.7,79.1,2158,2.02,42632,19047,4.7,2.5,6.2,79.8,43.2,7320,7042,2820.3,689,270,337,25,598,94,522,Lexington city,51678.0,2764,2465,2687,2479,2349,2140,0.3201881331403762,0.3034482758620689,0.1265351693338295,0.2537313432835821,0.1524052788420604,0.0425233644859813,Democrat
LEXINGTON COUNTY,SC,16.2,30.4,89.6,6.3,79.5,74.2,113104,2.54,61173,31671,5.0,698.91,7.1,86.5,51.4,293991,262391,375.4,22225,7429,12604,3127,18345,2992,18152,Lexington County,45063.0,144568,122093,112623,109512,93432,83081,-0.3010071385092137,-0.3669006413144078,-0.377489500368486,-0.3803875374388195,-0.4467313126123812,-0.4244652808704757,Republican
LIBERTY COUNTY,FL,15.0,14.4,81.4,7.0,76.8,71.0,2459,2.81,38015,17872,5.5,835.56,4.6,87.2,38.1,7974,8365,10.0,385,125,246,34,337,50,321,Liberty County,12077.0,3561,3296,3284,3278,3021,2410,-0.6043246279135074,-0.5740291262135923,-0.4138246041412911,-0.4405125076266016,-0.2836809003641178,-0.1244813278008298,Republican
LIBERTY COUNTY,GA,9.6,18.3,90.7,12.7,46.9,37.7,23485,2.53,48007,22811,5.7,489.8,12.8,69.5,49.8,65256,63453,129.5,3225,1389,1508,1667,1403,283,2767,Liberty County,13179.0,21389,16143,16170,16376,12800,9972,0.2403104399457665,0.2119804249519915,0.3025355596784168,0.2837078651685393,0.0381249999999999,0.0894504612916164,Democrat
LIBERTY COUNTY,MT,22.1,15.2,70.2,0.8,96.4,95.6,895,2.6,44875,43320,0.6,1430.05,24.0,96.7,51.6,1959,2339,1.6,124,0,62,0,110,0,109,Liberty County,30051.0,1083,961,988,1001,1033,1044,-0.5281625115420129,-0.5119667013527576,-0.4504048582995951,-0.2267732267732267,-0.4385285575992255,-0.4875478927203065,Republican
LIBERTY COUNTY,TX,12.9,9.7,77.3,28.6,86.5,60.1,26873,2.84,51494,23461,8.1,1158.42,21.4,81.6,50.6,91628,75643,65.3,5143,1742,2761,1446,3535,483,4447,Liberty County,48291.0,29334,24267,22746,21626,21691,20077,-0.5971568827981183,-0.5781513990192442,-0.5328849028400598,-0.4372976972163137,-0.3707067447328385,-0.2563630024406036,Republican
LICKING COUNTY,OH,16.8,26.1,91.5,2.1,90.8,89.1,64035,2.65,64589,31617,2.6,682.5,3.8,86.5,50.9,178519,166492,243.9,13336,4400,7470,694,12249,1440,11032,Licking County,39089.0,94210,82761,81390,82283,79416,62466,-0.2808512896720094,-0.2883604596367854,-0.1388622680919031,-0.1578697908437952,-0.238780598368087,-0.2238657829859444,Republican
LIMESTONE COUNTY,AL,15.2,25.7,84.7,6.2,81.0,75.8,32143,2.86,59686,28411,3.7,559.94,6.7,86.5,50.0,103570,82782,147.8,5969,2245,3073,852,4938,759,5016,Limestone County,1083.0,49235,40294,35459,33551,29073,23634,-0.4258759012897328,-0.4863999602918548,-0.4361657125130432,-0.4191231259873029,-0.3637739483369449,-0.2205297452822204,Republican
LIMESTONE COUNTY,TX,19.9,14.8,81.1,22.6,78.6,58.1,8377,2.68,44418,22595,9.4,905.29,18.9,86.4,48.7,22146,23384,25.8,1179,377,540,273,798,75,1011,Limestone County,48293.0,9095,7739,7563,7652,7818,7075,-0.503133589884552,-0.5191885256493087,-0.4072458019304508,-0.3349451123889179,-0.2911230493732412,-0.2040989399293286,Republican
LINCOLN COUNTY,AR,15.9,9.7,81.1,4.2,67.6,64.1,3773,2.22,46596,14764,1.8,561.52,4.5,86.6,38.6,12941,14134,25.2,663,252,319,170,470,26,578,Lincoln County,5079.0,3875,3826,3726,4406,4109,3546,-0.4379354838709677,-0.314427600627287,-0.2077294685990338,-0.1822514752610077,0.0554879532733024,0.1215454032712915,Republican
LINCOLN COUNTY,CO,17.6,12.6,90.9,14.8,90.1,77.0,1518,2.31,47258,16753,4.4,2577.63,9.7,91.6,41.6,5675,5467,2.1,323,86,149,44,257,0,247,Lincoln County,8073.0,2651,2436,2287,2304,2337,2199,-0.6280648811769144,-0.608784893267652,-0.4962833406209007,-0.5082465277777778,-0.563115104835259,-0.5093224192814916,Republican
LINCOLN COUNTY,GA,24.5,15.9,82.1,2.1,68.3,66.7,3475,2.23,39742,26918,0.9,210.38,2.5,93.6,51.4,7690,7996,38.0,676,273,380,90,580,94,575,Lincoln County,13181.0,4650,4102,4426,4416,3657,3103,-0.3750537634408603,-0.3622623110677718,-0.2758698599186625,-0.2447916666666666,-0.2657916324856439,-0.1714469867869803,Republican
LINCOLN COUNTY,ID,14.1,10.3,76.6,31.4,94.3,64.9,1724,3.08,50053,21656,15.6,1201.41,24.9,88.4,48.2,5127,5208,4.3,356,64,160,0,309,0,320,Lincoln County,16063.0,1940,1748,1662,1870,1875,1574,-0.5438144329896907,-0.471395881006865,-0.4043321299638989,-0.367379679144385,-0.4917333333333333,-0.3888182973316391,Republican
LINCOLN COUNTY,KS,25.4,22.8,93.3,3.7,96.7,93.4,1248,2.39,45076,25803,0.4,719.4,2.4,91.3,49.9,2939,3241,4.5,325,48,177,0,289,0,264,Lincoln County,20105.0,1579,1464,1483,1586,1800,1890,-0.6440785307156428,-0.6584699453551912,-0.5906945380984491,-0.5403530895334174,-0.5427777777777778,-0.4370370370370371,Republican
LINCOLN COUNTY,KY,18.8,13.0,79.9,1.7,95.7,94.3,9697,2.5,42919,21480,1.0,334.1,3.4,87.9,51.0,24275,24742,74.1,2089,459,1279,89,1966,243,1809,Lincoln County,21137.0,10913,9561,9152,9151,8863,7597,-0.5713369375973609,-0.5724296621692292,-0.4189248251748251,-0.3847666921647907,-0.3610515626762947,-0.2786626299855205,Republican
LINCOLN COUNTY,ME,28.2,33.5,93.1,1.3,96.8,95.7,15336,2.19,57720,33595,2.7,455.82,2.7,89.0,51.0,35237,34457,75.6,6466,1667,3503,84,6253,869,5193,Lincoln County,23015.0,23857,21503,20757,21584,20608,19671,0.1017730645093683,0.0239036413523694,0.1163944693356457,0.1204132690882134,0.0423136645962732,-0.0418382390320777,Democrat
LINCOLN COUNTY,MN,25.1,19.3,91.9,2.3,97.4,95.5,2468,2.23,53077,30253,1.0,536.76,1.3,86.4,49.5,5640,5896,11.0,578,74,387,0,550,34,497,Lincoln County,27081.0,3115,3019,3120,3126,3342,3284,-0.3800963081861959,-0.3547532295462073,-0.0532051282051281,0.0083173384516954,-0.0532615200478755,0.0234470158343483,Republican
LINCOLN COUNTY,MO,13.7,16.8,89.5,2.6,95.1,92.9,19286,2.89,64196,26848,1.2,626.56,1.7,87.8,50.0,59574,52566,83.9,4190,1406,2155,115,3948,551,3438,Lincoln County,29113.0,29018,24962,22652,23550,19839,15913,-0.5252257219656765,-0.5041262719333387,-0.2912767084584142,-0.1142250530785562,-0.1485961994052119,-0.0997926223842141,Republican
LINCOLN COUNTY,MS,17.5,16.2,86.3,1.3,67.9,66.9,12699,2.65,42606,23541,0.5,586.12,1.1,91.8,52.2,34907,34869,59.5,2307,851,1131,659,1550,172,1999,Lincoln County,28085.0,16801,15193,16414,16353,14326,13000,-0.3902148681626093,-0.400974132824327,-0.3270378944803217,-0.3226319329786583,-0.3851040067011029,-0.3216923076923077,Republican
LINCOLN COUNTY,MT,29.5,19.6,89.6,3.3,94.8,92.3,8122,2.38,40140,25081,3.5,3612.92,5.3,89.0,49.9,19677,19687,5.4,2090,569,1055,48,1897,177,1745,Lincoln County,30053.0,11747,9330,8889,9227,8447,7846,-0.496892823699668,-0.5024651661307611,-0.3943075711553606,-0.2903435569524222,-0.4225168698946371,-0.5033137904664797,Republican
LINCOLN COUNTY,NC,17.9,23.0,87.9,7.5,91.3,84.6,32894,2.5,57536,31771,4.7,297.94,7.0,89.0,50.4,86810,78265,262.7,5274,1742,2876,558,4578,455,4547,Lincoln County,37109.0,50217,40023,36775,35798,29579,24529,-0.4593464364657386,-0.4724533393298853,-0.3873011556764105,-0.3329236270182692,-0.3589708915108692,-0.3073504831016348,Republican
LINCOLN COUNTY,NE,20.1,23.2,93.5,9.1,95.1,87.2,14856,2.32,59795,31567,2.8,2564.07,5.2,83.7,50.4,34676,36288,14.2,3224,1035,1625,100,2949,376,2503,Lincoln County,31111.0,17107,16131,15655,16277,16199,15114,-0.548255100251359,-0.5734920339718554,-0.4010220376876398,-0.3545493641334398,-0.3797147972097043,-0.2656477438136827,Republican
LINCOLN COUNTY,NM,29.2,25.8,89.5,34.4,91.9,60.3,7566,2.54,46216,27454,7.9,4831.09,21.0,88.6,51.3,20269,20497,4.2,2794,1010,1108,513,2105,248,2381,Lincoln County,35027.0,10306,8902,9242,9696,9014,6772,-0.3636716475839317,-0.4004718040889687,-0.3266608959099762,-0.2543316831683168,-0.3603283780785444,-0.3589781453041937,Republican
LINCOLN COUNTY,NV,25.3,19.6,86.2,7.8,91.3,84.5,2018,2.28,58462,26432,2.8,10633.2,5.3,83.2,46.6,4499,5345,0.5,283,77,148,0,257,0,267,Lincoln County,32017.0,2446,2132,2152,2107,2047,1956,-0.7101390024529844,-0.650093808630394,-0.599907063197026,-0.4651162790697674,-0.567171470444553,-0.4657464212678937,Republican
LINCOLN COUNTY,OK,18.6,15.5,87.2,3.6,84.5,81.9,12763,2.7,50671,25255,1.1,952.31,1.6,92.4,50.2,33458,34273,36.0,2368,814,1265,379,1927,309,1975,Lincoln County,40081.0,14888,14025,12826,13974,14190,11701,-0.6316496507254165,-0.6006417112299466,-0.4896304381724621,-0.4984972091026192,-0.4304439746300211,-0.2774976497735236,Republican
LINCOLN COUNTY,OR,29.3,24.9,91.5,9.5,89.6,82.0,21298,2.25,47882,27861,5.0,979.77,7.2,83.5,51.7,50395,46034,47.0,4827,1481,2413,384,4114,438,3992,Lincoln County,41041.0,30726,25256,22984,23889,24325,21118,0.1602877042244353,0.0974817865061767,0.2051427079707622,0.2288500983716355,0.1477081192189105,0.1143574202102472,Democrat
LINCOLN COUNTY,SD,13.4,37.6,94.8,2.4,94.2,92.2,19749,2.85,82473,40059,2.6,577.28,4.7,83.9,50.5,65161,44828,77.7,4919,1477,2568,136,4614,476,4096,Lincoln County,46083.0,32396,25231,21952,20601,17066,10556,-0.2357081121126064,-0.2942015774245967,-0.2564231049562682,-0.1534391534391535,-0.3198171803586078,-0.2559681697612732,Republican
LINCOLN COUNTY,TN,19.7,18.4,83.5,3.8,89.3,86.3,13548,2.48,49485,26965,2.0,570.34,2.9,88.5,51.1,35319,33361,58.5,2871,814,1500,164,2626,408,2216,Lincoln County,47103.0,15608,13348,13268,13130,12455,10659,-0.5998206048180421,-0.5876535810608331,-0.490880313536328,-0.4216298552932216,-0.2634283420313126,-0.0351815367295243,Republican
LINCOLN COUNTY,WA,25.9,25.1,92.7,3.6,93.8,90.8,4525,2.31,54631,28891,1.7,2310.49,2.1,89.1,49.1,10876,10570,4.6,692,294,240,0,627,89,529,Lincoln County,53043.0,7033,5713,5872,5977,5811,5196,-0.4886961467368121,-0.5013127953789602,-0.4070163487738419,-0.2963024928894094,-0.3973498537256926,-0.4097382602001539,Republican
LINCOLN COUNTY,WI,22.2,18.4,92.0,1.7,96.6,95.2,12625,2.14,58541,30972,0.9,878.97,2.6,87.2,49.3,28415,28743,32.7,2211,548,1326,0,2131,167,1838,Lincoln County,55069.0,16497,14706,15216,15268,15700,14239,-0.2276777595926531,-0.2060383516931864,0.0070977917981072,0.1247707623788315,-0.0343949044585987,-0.0044244680103939,Republican
LINCOLN COUNTY,WV,20.0,9.0,80.9,0.7,98.2,97.5,8208,2.53,42345,21456,0.3,437.04,0.4,95.4,50.5,20463,21720,49.7,737,398,288,0,700,42,661,Lincoln County,54043.0,7830,7066,6818,6835,8312,7464,-0.5492975734355044,-0.5445796773280498,-0.3162217659137577,-0.0889539136795903,-0.0064966313763233,0.0736870310825295,Republican
LINCOLN COUNTY,WY,18.0,23.7,92.8,4.6,96.2,92.3,6908,2.77,66964,29747,2.8,4076.13,4.2,84.8,49.0,19581,18106,4.4,2201,602,969,51,2068,169,1897,Lincoln County,56023.0,10525,8875,8618,8615,7914,6845,-0.6778147268408551,-0.6393239436619718,-0.6796240427013228,-0.5411491584445735,-0.6392469042203689,-0.6181154127100073,Republican
LINCOLN PARISH,LA,14.0,35.6,88.5,3.1,55.9,53.6,17712,2.49,35467,22863,4.2,471.74,4.9,78.1,51.3,48396,46735,99.1,3224,1017,1532,599,2448,274,2738,Lincoln Parish,22061.0,19275,18669,18993,19150,18218,16551,-0.1946562905317769,-0.1957255343082114,-0.146527668088243,-0.1257963446475195,-0.194807333406521,-0.1447042474774937,Republican
LINN COUNTY,IA,16.3,33.1,94.5,3.4,88.1,85.2,90877,2.41,64903,34545,4.4,716.88,5.8,85.8,50.7,230299,211226,294.6,16511,5791,8075,952,14913,1686,13717,Linn County,19113.0,127458,117098,118453,113355,110740,92064,0.1343972131996422,0.0900527763070248,0.1769393767992368,0.2153500066163821,0.0993317681054722,0.0921098366353841,Democrat
LINN COUNTY,KS,23.1,16.2,89.7,2.9,95.6,93.0,4497,2.14,48778,27926,0.4,594.06,0.9,91.6,49.3,9591,9656,16.3,930,250,549,0,897,160,753,Linn County,20107.0,5046,4427,4467,4617,4741,4259,-0.6246531906460563,-0.6207363903320533,-0.4492948287441236,-0.3597574182369504,-0.2988820923855727,-0.2174219300305236,Republican
LINN COUNTY,MO,21.4,16.9,89.4,2.8,96.6,94.2,5106,2.34,45930,25130,0.9,615.56,1.8,89.5,51.3,11874,12761,20.7,1141,223,727,0,1089,128,875,Linn County,29115.0,5726,5587,5550,5931,5898,6010,-0.539294446384911,-0.5097547879004833,-0.2347747747747747,-0.084640026976901,-0.1664971176670057,-0.0998336106489184,Republican
LINN COUNTY,OR,19.1,19.3,89.5,9.5,92.5,84.3,47762,2.59,55893,27345,4.4,2290.13,7.9,83.9,50.5,128610,116672,50.9,7057,2446,3135,537,6157,604,5832,Linn County,41043.0,72640,58719,51426,51982,52041,44388,-0.2336729074889867,-0.2638498612033584,-0.1665694395830902,-0.1136547266361433,-0.2175208009069771,-0.1954807605659187,Republican
LIPSCOMB COUNTY,TX,19.1,19.7,82.1,34.5,91.9,60.7,1192,2.82,59091,28131,12.8,932.18,25.3,87.6,48.9,3059,3302,3.5,534,145,233,93,415,0,510,Lipscomb County,48295.0,1353,1332,1168,1256,1337,1294,-0.7937915742793792,-0.7687687687687688,-0.7919520547945206,-0.7468152866242037,-0.7202692595362753,-0.669242658423493,Republican
LITCHFIELD COUNTY,CT,22.0,35.4,93.0,7.1,93.3,87.4,74143,2.41,79906,44480,8.0,920.56,10.3,90.5,50.5,185186,189927,206.3,20187,6092,12048,1330,18350,1755,17666,Litchfield County,9005.0,107544,97442,92427,98870,96668,87338,-0.0505560514766049,-0.1362451509615977,-0.0361907234898893,0.0491655709517548,-0.0570302478586502,0.0301586938102544,Republican
LITTLE RIVER COUNTY,AR,20.9,12.5,89.0,3.7,75.5,72.6,5363,2.27,45113,25759,0.4,532.25,1.7,85.7,51.8,12026,13171,24.7,656,211,367,74,555,85,548,Little River County,5081.0,5177,5227,5051,5152,5294,5263,-0.4807803747344021,-0.4224220394107519,-0.3628984359532765,-0.2899844720496894,0.0192670948243294,0.1140034201026031,Republican
LIVE OAK COUNTY,TX,20.8,12.2,76.9,40.8,92.0,52.9,3752,2.85,53848,25370,6.2,1039.7,30.5,85.0,45.1,11335,11531,11.1,1001,316,555,230,718,106,786,Live Oak County,48297.0,5054,4302,4113,4176,4201,4004,-0.668777206173328,-0.6327289632728963,-0.5433989788475565,-0.4901819923371647,-0.5024994049035945,-0.428071928071928,Republican
LIVINGSTON COUNTY,IL,19.4,14.8,89.9,4.8,92.9,88.8,14307,2.36,55160,27925,2.1,1044.29,3.8,88.1,49.8,35815,38950,37.3,2591,763,1373,31,2423,226,2143,Livingston County,17105.0,17174,15269,15039,15625,16039,15421,-0.442121812041458,-0.4050690942432379,-0.3147150741405679,-0.1921279999999999,-0.2920381569923312,-0.2177550094027624,Republican
LIVINGSTON COUNTY,KY,22.5,11.8,83.8,2.5,96.6,94.6,3857,2.38,50839,27728,0.3,313.13,1.7,91.9,50.9,8888,9519,30.4,618,224,334,0,583,58,520,Livingston County,21139.0,5003,4645,4511,4593,4706,4230,-0.6138317009794124,-0.5776103336921421,-0.3863888273110175,-0.2760722839102983,-0.1419464513387165,-0.0226950354609928,Republican
LIVINGSTON COUNTY,MI,17.9,35.4,95.2,2.6,96.4,94.1,72000,2.62,84221,40351,2.9,565.25,2.9,91.1,49.9,193866,180967,320.2,17931,5791,10026,633,16630,1538,15528,Livingston County,26093.0,127197,105866,98337,99638,93742,75475,-0.2261216852598724,-0.2956189900440178,-0.2325370918372535,-0.132911138320721,-0.265291971581575,-0.2100960582974494,Republican
LIVINGSTON COUNTY,MO,19.5,18.8,86.7,2.0,93.4,91.8,5915,2.32,46992,23587,0.7,532.33,1.7,86.5,56.4,14557,15195,28.5,1208,325,695,56,1066,114,932,Livingston County,29117.0,6758,6421,6054,6552,6346,6276,-0.5707309854986683,-0.5628406790219592,-0.3468780971258671,-0.2377899877899878,-0.2759218405294673,-0.2045889101338431,Republican
LIVINGSTON COUNTY,NY,18.3,26.5,90.6,3.9,93.5,90.5,24176,2.37,59510,28701,3.6,631.76,6.9,86.4,49.8,61834,65393,103.5,4103,1436,2304,113,3824,325,3527,Livingston County,36051.0,31656,30031,26770,30127,29948,27223,-0.1802185999494566,-0.2195398088641736,-0.0575644378035113,-0.0788329405516646,-0.1929344196607452,-0.1751460162362708,Republican
LIVINGSTON PARISH,LA,13.3,19.7,85.2,4.1,90.3,86.8,48410,2.85,63389,29354,2.2,648.17,4.3,90.5,50.8,142282,128026,197.5,10280,3641,5510,1105,8905,1216,8661,Livingston Parish,22063.0,65230,57730,54062,50892,44253,36865,-0.6994940978077572,-0.7253421098215832,-0.7040435056046761,-0.7189342136288611,-0.5441664971866313,-0.3765360097653601,Republican
LLANO COUNTY,TX,37.3,25.3,85.8,10.8,95.9,86.0,8678,2.4,53411,37050,4.2,934.03,6.4,85.1,51.6,21243,19301,20.7,2450,846,1195,167,2223,238,2103,Llano County,48299.0,12660,10447,9558,9629,9563,8627,-0.6014218009478672,-0.6196994352445678,-0.6055660179953964,-0.5224841624260048,-0.5211753633796926,-0.4812797032572157,Republican
LOGAN COUNTY,AR,20.5,13.3,86.2,3.0,93.2,90.6,8417,2.5,41466,21491,1.5,708.13,3.5,82.3,50.2,21131,22353,31.6,1575,438,894,62,1470,343,1146,Logan County,5083.0,8225,7921,7331,7907,8551,8096,-0.5953799392097264,-0.5089003913647266,-0.4187696085117992,-0.3875047426331099,-0.2005613378552215,-0.1487154150197628,Republican
LOGAN COUNTY,CO,18.1,20.2,89.6,17.2,91.1,75.6,8393,2.54,53318,26727,4.5,1838.55,10.3,78.7,42.8,21528,22709,12.4,1552,387,894,61,1355,179,1281,Logan County,8075.0,10532,9722,9124,8977,8766,8096,-0.5572540827952905,-0.5586299115408352,-0.3799868478737395,-0.3515651108388102,-0.4194615560118639,-0.3995800395256917,Republican
LOGAN COUNTY,IL,18.6,19.9,88.7,3.5,88.7,85.9,10797,2.31,57308,27546,1.6,618.06,4.6,84.1,49.2,27987,30305,49.0,1981,720,993,82,1749,209,1617,Logan County,17107.0,13294,12401,12053,12896,13467,13065,-0.3983752068602377,-0.3925489879848399,-0.320750020741724,-0.1689671215880893,-0.3593227890398753,-0.2710294680443934,Republican
LOGAN COUNTY,KS,21.2,16.6,91.0,6.9,95.9,89.7,1153,2.4,51740,28135,2.1,1072.99,2.8,87.8,50.1,2762,2756,2.6,488,150,280,0,474,46,431,Logan County,20109.0,1458,1357,1350,1440,1523,1397,-0.7290809327846365,-0.7243920412675018,-0.6881481481481482,-0.6680555555555555,-0.6611950098489823,-0.6134574087329993,Republican
LOGAN COUNTY,KY,18.6,16.4,84.9,3.0,90.7,88.4,10418,2.55,48014,24221,1.4,552.13,3.1,87.8,50.5,27432,26835,48.6,2123,686,1167,177,1877,212,1815,Logan County,21141.0,12346,10899,10510,10890,10644,9332,-0.4838004211890491,-0.4608679695384898,-0.3263558515699333,-0.2859504132231404,-0.2862645621946637,-0.1563437633947707,Republican
